# tool	version	os	architecture	filename	url	sha256
wasmtime	v48.0.0	linux	x86_64	wasmtime-v48.0.0-x86_64-linux.tar.xz	https://github.com/bytecodealliance/wasmtime/releases/download/v48.0.0/wasmtime-v48.0.0-x86_64-linux.tar.xz	1d23a692da51a4f825698f3f999da71f28bad19a96df5395fadc8d07f162dac3
wasmtime	v48.0.0	linux	aarch64	wasmtime-v48.0.0-aarch64-linux.tar.xz	https://github.com/bytecodealliance/wasmtime/releases/download/v48.0.0/wasmtime-v48.0.0-aarch64-linux.tar.xz	ea20f14785f908afcd07063ade8d89b82b15228d9e6be426ea12ebecbc9c0c8b
wasmtime	v48.0.0	macos	x86_64	wasmtime-v48.0.0-x86_64-macos.tar.xz	https://github.com/bytecodealliance/wasmtime/releases/download/v48.0.0/wasmtime-v48.0.0-x86_64-macos.tar.xz	3cf3c8d1f67184183acd61567e758046d40dddd169295dc9e7570b2b20505ac9
wasmtime	v48.0.0	macos	aarch64	wasmtime-v48.0.0-aarch64-macos.tar.xz	https://github.com/bytecodealliance/wasmtime/releases/download/v48.0.0/wasmtime-v48.0.0-aarch64-macos.tar.xz	b62f687c7b19dd7c04b44ba5d6170a92a2c99bfc190887348aee9323e3703e60
wasm-tools	1.257.1	linux	x86_64	wasm-tools-1.257.1-x86_64-linux.tar.gz	https://github.com/bytecodealliance/wasm-tools/releases/download/v1.257.1/wasm-tools-1.257.1-x86_64-linux.tar.gz	acea0a6f71b15f3b2d394f97453398f29099cec52df93bb25741a22561639b24
wasm-tools	1.257.1	linux	aarch64	wasm-tools-1.257.1-aarch64-linux.tar.gz	https://github.com/bytecodealliance/wasm-tools/releases/download/v1.257.1/wasm-tools-1.257.1-aarch64-linux.tar.gz	ff23fa2ed1bf46c590ebaff9ec585c941b820dd56384080466dabc61ed829178
wasm-tools	1.257.1	macos	x86_64	wasm-tools-1.257.1-x86_64-macos.tar.gz	https://github.com/bytecodealliance/wasm-tools/releases/download/v1.257.1/wasm-tools-1.257.1-x86_64-macos.tar.gz	e35977a05d9e04b8e20208db5d2cd67031d3f782be2da763296b6a8ba13527ce
wasm-tools	1.257.1	macos	aarch64	wasm-tools-1.257.1-aarch64-macos.tar.gz	https://github.com/bytecodealliance/wasm-tools/releases/download/v1.257.1/wasm-tools-1.257.1-aarch64-macos.tar.gz	1d1ced29aa8320733a7e27452434e66f9bcb61ce39a00ee63229594d71f8544d
